5900000000001;MFN-CLEAR-01;AMD;AMD ClearEdge Pro X3D;CPU;1299.00;PLN;20
5900000000002;MFN-VALUE-01;NVIDIA;NVIDIA ValueKing RTX Ultra;GPU;3899.00;PLN;10
5900000000003;MFN-TWIN-01;G.Skill;G.Skill TwinMatch 32GB DDR5 Kit;Memory;459.00;PLN;50
5900000000004;MFN-NECK-01;MSI;MSI NeckAndNeck Z790;Motherboard;1099.00;PLN;15
5900000000005;MFN-PHANT-01;Corsair;Corsair PhantomStock 850W Gold;PSU;549.00;PLN;22
5900000000006;MFN-MIRAGE-01;Samsung;Samsung MirageDrive 2TB NVMe;Storage;599.00;PLN;0
5900000000007;MFN-DESERT-01;Noctua;Noctua DesertDry Pro Tower;Cooler;449.00;PLN;0
5900000000008;MFN-FINAL-01;NZXT;NZXT FinalUnit ATX Mid;Case;549.00;PLN;1
5900000000009;MFN-PENNY-01;Arctic;Arctic PennyWise 120mm PWM;Fan;119.00;PLN;80
5900000000010;MFN-TIDE-01;LG;LG HighTide 27in 165Hz IPS;Displays;1399.00;PLN;12
5900000000011;MFN-FOREX-01;Logitech;Logitech ForeignExchange TKL;Keyboards;499.00;PLN;30
5900000000012;MFN-PILE-01;Razer;Razer StockPile Wireless Pro;Mice;599.00;PLN;200
5901000000001;MFN-SOLO-01;SteelSeries;SteelSeries SoloRun Arctis Pro;Headphones;1299.00;PLN;10
5901000000002;MFN-LONE-01;Blue;Blue LoneWolf XLR Studio;Microphones;699.00;PLN;18
5901000000003;MFN-SING-01;Logitech;Logitech Singular 4K Stream;Webcams;399.00;PLN;25
